PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-19 17:26:09.855,,,,,,247963.28,-1.0,192000,,50.8234,20.4658,1.5847,36.9822,19.9972,238.7728,20.4692,22.7285,1524.9807,57.0,0.0605,70.0,1.7271,112.0,0.000189844,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:10.854,,,,,,247963.28,-1.0,192000,,50.827,20.4664,1.5872,36.9846,20.0011,239.5137,20.4715,22.7002,1524.985,57.0,0.0605,67.0,1.4544,107.0,0.000174534,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:11.854,,,,,,247963.28,-1.0,192000,0.0,50.8269,20.4743,1.5863,36.9776,20.0011,238.0091,20.4725,22.7563,1524.9987,54.0,0.0242,65.0,1.2726,107.0,0.000174534,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:12.856,,,,,,247963.29,-1.0,192000,,50.8258,20.4725,1.5537,36.9783,20.005,238.5261,20.4752,22.7361,1524.994,56.0,0.0484,67.0,1.4544,108.0,0.000177596,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:13.857,,,,,,247963.29,-1.0,192000,,50.8254,20.474,1.5923,36.9766,20.003,239.1394,20.476,22.7132,1524.9968,53.0,0.0121,67.0,1.4544,114.0,0.000195968,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:14.857,,,,,,247963.29,-1.0,192000,,50.8261,20.471,1.6383,36.9798,20.005,238.6252,20.4732,22.733,1524.993,,,,,,,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:15.857,,,,,,247963.29,-1.0,192000,,50.8263,20.4697,1.5608,36.9811,20.0069,238.0908,20.4747,22.7523,1524.9897,55.0,0.0363,69.0,1.6362,108.0,0.000177596,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:16.857,,,,,,247963.29,-1.0,192000,,50.8282,20.4703,1.5765,36.9821,20.005,237.7381,20.4735,22.7658,1524.9927,52.0,0.0,67.0,1.4544,111.0,0.000186782,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:17.856,,,,,,247963.29,-1.0,192000,,50.8285,20.4703,1.5509,36.9824,20.0088,237.9916,20.474,22.7562,1524.9926,54.0,0.0242,70.0,1.7271,113.0,0.000192906,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:18.856,,,,,,247963.29,-1.0,192000,,50.8267,20.4717,1.4705,36.9797,20.0108,238.253,20.4749,22.7463,1524.992,54.0,0.0242,70.0,1.7271,117.0,0.000205154,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:19.856,,,,,,247963.29,-1.0,192000,,50.8254,20.4715,1.4417,36.9789,20.0147,238.9883,20.4749,22.719,1524.9901,52.0,0.0,64.0,1.1817,111.0,0.000186782,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:20.858,,,,,,247963.29,-1.0,192000,,50.8244,20.4708,1.4511,36.9786,20.0127,240.4013,20.4757,22.6664,1524.988,55.0,0.0363,64.0,1.1817,111.0,0.000186782,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:21.857,,,,,,247963.29,-1.0,192000,,50.8247,20.469,1.4211,36.9805,20.0166,239.8805,20.4802,22.6842,1524.9848,55.0,0.0363,71.0,1.818,109.0,0.000180658,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:22.855,,,,,,247963.29,-1.0,192000,,50.825,20.4688,1.4242,36.9809,20.0147,237.5846,20.478,22.7702,1524.9847,54.0,0.0242,67.0,1.4544,113.0,0.000192906,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:23.858,,,,,,,247963.29,192000,,50.8279,20.4688,1.4593,36.9833,20.0147,238.4174,20.4765,22.7395,1524.988,,,,,,,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:24.857,,,,,,247963.29,247963.29,192000,,50.8266,20.4702,1.4964,36.9809,20.0166,238.7913,20.4772,22.7255,1524.9897,53.0,0.0121,66.0,1.3635,112.0,0.000189844,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:25.855,,,,,,247963.29,-1.0,192000,,50.825,20.4705,1.5464,36.9793,20.0127,238.8383,20.4774,22.7238,1524.9896,52.0,0.0,67.0,1.4544,111.0,0.000186782,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:26.857,,,,,,247963.29,-1.0,192000,,50.8239,20.4689,1.5789,36.9798,20.0224,239.5153,20.4776,22.6986,1524.9863,53.0,0.0121,67.0,1.4544,116.0,0.000202092,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:27.855,,,,,,247963.29,-1.0,192000,,50.8242,20.469,1.5883,36.98,20.0185,238.4918,20.4793,22.7361,1524.987,54.0,0.0242,68.0,1.5453,195.0,0.00044399,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:28.857,,,,,,247963.3,-1.0,192000,0.0,50.8215,20.4679,1.6361,36.9787,20.0243,238.5525,20.4776,22.7344,1524.9833,54.0,0.0242,66.0,1.3635,109.0,0.000180658,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
2025-02-19 17:26:29.856,,,,,,247963.31,-1.0,192000,,50.8253,20.466,1.628,36.9835,20.0205,239.2973,20.4819,22.7051,1524.9834,56.0,0.0484,68.0,1.5453,140.0,0.00027558,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.81,81
