PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-12 12:17:47.391,117.0,-1758.09,2837.287,5.0,194.0,19776.33,19776.06,192000.0,1.0,50.7152,20.3584,5.1063,36.9861,20.1465,233.4457,20.3695,22.9583,1524.7517,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:48.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7263,20.3726,4.9577,36.9829,20.1504,233.2703,20.385,22.9607,1524.7843,50.0,-0.0242,70.0,1.7271,89.0,0.000119418,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:49.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7475,20.3794,4.7978,36.9944,20.1523,234.4084,20.3905,22.9151,1524.813,52.0,0.0,72.0,1.9089,86.0,0.000110232,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:50.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7454,20.3857,4.623,36.9872,20.1523,233.0693,20.3933,22.9657,1524.8192,53.0,0.0121,64.0,1.1817,89.0,0.000119418,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:51.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7438,20.386,4.4671,36.9857,20.1504,232.1107,20.3922,23.0028,1524.8157,52.0,0.0,74.0,2.0907,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:52.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7403,20.3849,4.2759,36.9839,20.1523,232.9156,20.3937,22.9715,1524.8075,51.0,-0.0121,69.0,1.6362,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:53.390,,,,,,19776.06,19776.06,192000.0,1.0,50.7436,20.3895,4.1266,36.9826,20.1562,233.0947,20.4008,22.9626,1524.8161,54.0,0.0242,71.0,1.818,90.0,0.00012248,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:54.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7465,20.3908,3.9743,36.9839,20.1562,232.9392,20.4006,22.9685,1524.8185,51.0,-0.0121,69.0,1.6362,88.0,0.000116356,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:55.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7561,20.3921,3.8279,36.9907,20.1581,233.8549,20.3998,22.9335,1524.8272,53.0,0.0121,70.0,1.7271,93.0,0.000131666,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:56.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7538,20.3991,3.6631,36.9828,20.1581,233.6433,20.3994,22.9421,1524.8347,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:57.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7569,20.398,3.4808,36.9864,20.1581,234.2055,20.4044,22.9189,1524.8327,51.0,-0.0121,70.0,1.7271,89.0,0.000119418,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:58.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7598,20.4005,3.3166,36.9866,20.1581,233.8147,20.4102,22.932,1524.837,51.0,-0.0121,64.0,1.1817,92.0,0.000128604,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:17:59.391,110.0,-1758.09,2837.286,3.0,194.0,19776.06,19776.06,192000.0,1.0,50.7623,20.4007,3.1544,36.9885,20.1601,230.9062,20.4177,23.0413,1524.8369,50.0,-0.0242,68.0,1.5453,92.0,0.000128604,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:00.391,,,,,,19776.06,19776.06,192000.0,1.0,50.7649,20.4028,2.9888,36.9888,20.1601,233.5078,20.4164,22.9417,1524.8402,52.0,0.0,63.0,1.0908,97.0,0.000143914,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:01.391,,,,,,19776.06,19776.06,192000.0,1.0,50.765,20.4079,2.8317,36.9846,20.1697,234.477,20.4166,22.905,1524.8468,54.0,0.0242,72.0,1.9089,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:02.391,,,,,,19776.07,19776.07,192000.0,,50.7656,20.4108,2.6989,36.9826,20.1678,233.213,20.4183,22.9527,1524.8502,53.0,0.0121,64.0,1.1817,89.0,0.000119418,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:03.391,,,,,,19776.07,19776.07,192000.0,,50.7675,20.4092,2.5595,36.9856,20.1716,231.4651,20.4222,23.0184,1524.8469,51.0,-0.0121,69.0,1.6362,88.0,0.000116356,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:04.391,,,,,,19819.15,19845.19,192000.0,1.0,50.7717,20.4112,2.4459,36.9873,20.1697,232.2817,20.424,22.9864,1524.8524,51.0,-0.0121,66.0,1.3635,88.0,0.000116356,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:05.391,,,,,,19845.19,19845.19,192000.0,1.0,50.774,20.4163,2.3704,36.9847,20.1697,232.4103,20.422,22.9822,1524.8621,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:06.391,,,,,,19845.19,19845.19,192000.0,1.0,50.777,20.4136,2.3205,36.9896,20.1697,233.7837,20.4217,22.9295,1524.8594,52.0,0.0,72.0,1.9089,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:07.391,110.0,-1758.09,2837.284,1.8,186.0,19845.19,19845.2,192000.0,1.0,50.7727,20.4128,2.3063,36.9867,20.1736,233.6607,20.4223,22.9342,1524.8537,50.0,-0.0242,71.0,1.818,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:08.391,,,,,,19845.2,19845.2,192000.0,1.0,50.7771,20.4139,2.3016,36.9894,20.1736,232.6246,20.4294,22.9715,1524.8596,51.0,-0.0121,66.0,1.3635,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:09.391,,,,,,19845.2,19845.2,192000.0,1.0,50.7762,20.4151,2.3208,36.9876,20.1755,232.9993,20.4246,22.9587,1524.8612,50.0,-0.0242,65.0,1.2726,88.0,0.000116356,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:10.391,,,,,,19845.2,19845.2,192000.0,1.0,50.7783,20.4161,2.3674,36.9884,20.1775,232.7096,20.4214,22.9708,1524.8656,51.0,-0.0121,69.0,1.6362,88.0,0.000116356,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:11.391,,,,,,19845.2,19845.2,192000.0,1.0,50.7755,20.4154,2.4479,36.9867,20.1794,233.1091,20.4228,22.9551,1524.8631,53.0,0.0121,69.0,1.6362,87.0,0.000113294,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
2025-02-12 12:18:12.391,,,,,,19845.2,19845.2,192000.0,1.0,50.7759,20.4173,2.5299,36.9853,20.1794,233.5464,20.421,22.9391,1524.8681,53.0,0.0121,66.0,1.3635,94.0,0.000134728,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.4,4
